번호,id,case_number,case_name,court_name,judgment_date,case_type,judgment_type,instance,disposition,summary,holding,statutes,precedents,keywords,full_text,legal_category,legal_category_ko,legal_categories_all
1,CASE_2025_00001,2024다283668,공제금등청구의소[다가구주택 임대차계약을 중개한 개업공인중개사의 주의의무 이행 여부가 문제된 사건],대법원,2025-12-04,민사,판결,상고심,파기환송,"[1] 다가구주택 일부에 대한 임대차계약을 중개하는 개업공인중개사가 임차의뢰인에게 부담하는 의무의 내용 및 개업공인중개사가 해당 다가구주택에 선순위 임대차보증금채권이 얼마나 있을 수 있는지 조사·확인하여 임차의뢰인에게 성실하게 설명하여야 하는지 여부 (적극) / 중개업자가 고의나 과실로 이러한 의무를 위반하여 임차의뢰인에게 재산상의 손해를 발생하게 한 경우, 공인중개사법 제30조 에 따른 배상책임을 부담하는지 여부 (적극) [2] 개업공인중개사인 甲이 乙의 다가구주택 임대차계약을 중개하면서 乙에게 교부한 중개대상물 확인·설명서 중 ‘권리관계’란에는 근저당권에 관한 사...","[1] 개업공인중개사와 중개의뢰인의 법률관계는 민법상의 위임관계와 유사하므로 중개의뢰를 받은 개업공인중개사는 선량한 관리자의 주의로 중개대상물의 권리관계 등을 조사·확인하여 중개의뢰인에게 설명할 의무가 있다. 공인중개사법 제29조 제1항 은 공인중개사가 전문직업인으로서 신의와 성실로써 공정하게 중개 관련 업무를 수행할 의무가 있다고 규정한다. 공인중개사법 제25조 제1항 , 제2항 , 구 공인중개사법 시행령(2021. 12. 31. 대통령령 제32306호로 개정되기 전의 것) 제21조 , 구 공인중개사법 시행규칙(2020. 10. 27. 국토교통부령 제773호로 개정되기 전의 것, 이하 ‘구 공인중개사법 시행규칙’이라고 한다) 제16조 에 따르면, 개업공인중개사는 다가구주...","[1] 공인중개사법 제1조 , 제25조 제1항 , 제2항 , 제29조 제1항 , 제30조 , 구 공인중개사법 시행령(2021. 12. 31. 대통령령 제32306호로 개정되기 전의 것) 제21조 , 구 공인중개사법 시행규칙(2020. 10. 27. 국토교통부령 제773호로 개정되기 전의 것) 제16조 , 민법 제680조 , 제681조 [2] 공인중개사법 제1조 , 제25조 제1항 , 제2항 , 제29조 제1항 , 제30조 , 구 공인중개사법 시행령(2021. 12. 31. 대통령령 제32306호로...","[1] 대법원 2023. 8. 31. 선고 2023다224327 판결 (공2023하, 1751), 대법원 2023. 11. 30. 선고 2023다259743 판결 (공2024상, 104)","부동산, 주택, 다가구, 중개대상물, 임대차, 보증금, 임대인, 임차인, 임대차계약, 공인중개, 중개업자, 확인·설명",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=613169,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
3,CASE_2022_00003,2022다212594,공제금등청구의소,대법원,2022-06-30,민사,판결,상고심,파기환송,"[1] 공인중개사가 자기가 조사·확인하여 설명할 의무는 없으나 중개의뢰인이 계약을 맺을지를 결정하는 데 중요한 사항에 관하여 그릇된 정보를 진실인 것처럼 그대로 전달하여 중개의뢰인이 이를 믿고 계약을 체결하도록 한 경우, 선량한 관리자의 주의로 신의를 지켜 성실하게 중개해야 할 의무를 위반한 것인지 여부 (적극) [2] 甲 등이 각 임차한 다가구주택의 임대차계약을 중개한 공인중개사가 중개대상물 확인·설명서에 임대인이 알려 준 선순위 보증금 합계액을 그대로 기재하면서 임대인이 관련 자료제공을 거부하였다는 사실을 적었는데, 이는 기존 임차인들의 실제 보증금 합계액에 크게...","[1] 공인중개사는 자기가 조사·확인하여 설명할 의무가 없는 사항이라도 중개의뢰인이 계약을 맺을지를 결정하는 데 중요한 것이라면 그에 관해 그릇된 정보를 제공해서는 안 되고, 그 정보가 진실인 것처럼 그대로 전달하여 중개의뢰인이 이를 믿고 계약을 체결하도록 했다면 선량한 관리자의 주의로 신의를 지켜 성실하게 중개해야 할 의무를 위반한 것이 된다. [2] 甲 등이 각 임차한 다가구주택의 임대차계약을 중개한 공인중개사가 중개대상물 확인·설명서에 임대인이 알려 준 선순위 보증금 합계액을 그대로 기재하면서 임대인이 관련 자료제공을 거부하였다는 사실을 적었는데, 이는 기존 임차인들의 실제 보증금 합계액에 크게 못 미치는 금액이었고, 그 후 甲 등이 다가구주택의 경매절차에서 임대차보...","[1] 공인중개사법 제25조 , 제29조 제1항 , 제30조 , 공인중개사법 시행령 제21조 , 민법 제681조 [2] 공인중개사법 제25조 , 제29조 제1항 , 제30조 , 공인중개사법 시행령 제21조 , 민법 제681조","[1] 대법원 1999. 5. 14. 선고 98다30667 판결 (공1999상, 1153), 대법원 2008. 9. 25. 선고 2008다42836 판결","부동산, 주택, 다가구, 중개대상물, 임대차, 보증금, 임대인, 임차인, 임대차계약, 임차보증금, 공인중개, 확인·설명",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=223315,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
5,CASE_2023_00005,2023다259743,임대차보증금[다가구주택 임대차계약을 중개한 공인중개사의 주의의무 이행 여부가 문제된 사건],대법원,2023-11-30,민사,판결,상고심,파기환송,"[1] 부동산중개업자가 직접 조사·확인하여 설명할 의무는 없으나 중개의뢰인이 계약을 맺을지를 결정하는 데 중요한 사항에 관하여 그릇된 정보를 진실인 것처럼 그대로 전달하여 중개의뢰인이 이를 믿고 계약을 체결하도록 한 경우, 선량한 관리자의 주의로 신의를 지켜 성실하게 중개해야 할 의무를 위반한 것인지 여부 (적극) [2] 다가구주택 일부에 대한 임대차계약을 중개하는 부동산중개업자가 임차의뢰인에게 부담하는 의무의 내용 및 중개업자가 고의나 과실로 이러한 의무를 위반하여 임차의뢰인에게 재산상의 손해를 발생하게 한 경우, 공인중개사법 제30조 에 따른 배상책임을 부담하는지...","[1] 부동산중개업자와 중개의뢰인의 법률관계는 민법상의 위임관계와 유사하므로 중개의뢰를 받은 중개업자는 선량한 관리자의 주의로 중개대상물의 권리관계 등을 조사·확인하여 중개의뢰인에게 설명할 의무가 있다. 나아가 직접 조사·확인하여 설명할 의무가 없는 사항이라고 할지라도 중개의뢰인이 계약을 맺을지를 결정하는 데 중요한 것이라면 그에 관하여 그릇된 정보를 제공해서는 아니 되고, 그 정보가 진실인 것처럼 그대로 전달하여 중개의뢰인이 이를 믿고 계약을 체결하도록 했다면 선량한 관리자의 주의로 신의를 지켜 성실하게 중개해야 할 의무를 위반한 것이 된다. [2] 공인중개사법 제25조 제1항 , 제2항 , 같은 법 시행령 제21조 , 같은 법 시행규칙 제16조 에 의하여, 중개업자는...","[1] 공인중개사법 제25조 제1항 , 제2항 , 제29조 제1항 , 공인중개사법 시행령 제21조 , 민법 제680조 , 제681조 [2] 공인중개사법 제25조 제1항 제2항 , 제30조 , 공인중개사법 시행령 제21조 , 공인중개사법 시행규칙 제16조 [3] 공인중개사법 제25조 제1항 , 제2항 , 제29조 제1항 , 제30조 , 공인중개사법 시행령 제21조 , 공인중개사법 시행규칙 제16조 , 민법 제680조 , 제681조","[1] 대법원 1999. 5. 14. 선고 98다30667 판결 (공1999상, 1153), 대법원 2012. 11. 29. 선고 2012다69654 판결 (공2013상, 45), 대법원 2022. 6. 30. 선고 2022다212594 판결 (공2022하, 1480) / [2] 대법원 2012. 1. 26. 선고 2011다63857 판결 (공2012상, 308)","부동산, 주택, 다가구, 중개대상물, 임대차, 보증금, 임대인, 임차인, 임대차계약, 임차보증금, 공인중개, 중개업자",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=238189,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
6,CASE_1999_00006,98다30667,손해배상(기),대법원,1999-05-14,민사,판결,상고심,상고기각,"중개대상 물건에 근저당이 설정된 경우, 부동산중개업자의 확인·설명의무의 범위","부동산중개업자는 중개대상 물건에 근저당이 설정된 경우에는 그 채권최고액을 조사·확인하여 의뢰인에게 설명하면 족하고, 실제의 피담보채무액까지 조사·확인하여 설명할 의무까지 있다고 할 수는 없으나, 부동산중개업자가 이에 그치지 않고 실제의 피담보채무액에 관한 그릇된 정보를 제대로 확인하지도 않은 채 마치 그것이 진실인 것처럼 의뢰인에게 그대로 전달하여 의뢰인이 그 정보를 믿고 상대방과 계약에 이르게 되었다면, 부동산중개업자의 그러한 행위는 선량한 관리자의 주의로 신의를 지켜 성실하게 중개행위를 하여야 할 중개업자의 의무에 위반된다.","민법 제681조 , 부동산중개업법 제16조 , 제17조 , 제19조","대법원 1992. 2. 11. 선고 91다36239 판결 (공1992, 1000), 대법원 1993. 5. 11. 선고 92다55350 판결 (공1993하, 1684)","부동산, 중개대상물, 임대차, 임대차계약, 중개업자, 확인·설명, 근저당, 저당권, 담보, 손해배상, 기각",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=117663,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
8,CASE_2023_00008,2023다224327,보증금반환[신탁된 부동산의 임대차계약을 중개하는 공인중개사의 주의의무가 문제된 사건],대법원,2023-08-31,민사,판결,상고심,파기환송,"[1] 공인중개사가 신탁관계가 설정된 부동산에 관하여 임대차계약을 중개하는 경우, 신탁관계에 관한 조사·확인을 거쳐 중개의뢰인에게 신탁원부를 제시하고, 신탁관계 설정사실 및 그 법적인 의미와 효과 등을 성실하고 정확하게 설명하여야 할 의무가 있는지 여부 (적극) [2] 甲이 공인중개사인 乙의 중개로 丙 주식회사와 부동산 임대차계약을 체결하는 과정에서 乙이 위 부동산이 丁 주식회사에 신탁된 부동산임을 설명하였고, 이에 특약사항으로 임대인이 임차인의 잔금 지급과 동시에 신탁사항 및 소유권 이외의 권리사항을 말소하기로 정하였는데, 잔금 지급 후에도 丙 회사가 신탁등기 말소...","[1] 부동산중개업자와 중개의뢰인의 법률관계는 민법상의 위임관계와 유사하므로 중개의뢰를 받은 중개업자는 선량한 관리자의 주의로 중개대상물의 권리관계 등을 조사·확인하여 중개의뢰인에게 설명할 의무가 있다. 또한 공인중개사법 제25조 제1항 제1호 , 같은 법 시행령 제21조 제1항 제2호 에 의하면, 공인중개사는 중개를 의뢰받은 경우 중개가 완성되기 전에 해당 중개대상물의 상태·입지 및 권리관계 등을 확인하여 이를 해당 중개대상물에 관한 권리를 취득하고자 하는 중개의뢰인에게 성실·정확하게 설명하고, 설명의 근거자료를 제시하여야 한다. 공인중개사법 제29조 제1항 에서는 공인중개사가 전문직업인으로서 신의와 성실로써 공정하게 중개 관련 업무를 수행할 의무를 규정하면서, 제30조...","[1] 공인중개사법 제1조 , 제25조 제1항 제1호 , 제29조 제1항 , 제30조 제1항 , 공인중개사법 시행령 제21조 제1항 제2호 , 민법 제680조 , 제681조 [2] 공인중개사법 제25조 제1항 제1호 , 제29조 제1항 , 제30조 제1항 , 제3항 , 제42조 제1항 , 공인중개사법 시행령 제21조 제1항 제2호 , 민법 제681조","[1] 대법원 2012. 8. 30. 선고 2011다76754 판결, 대법원 2012. 11. 29. 선고 2012다69654 판결 (공2013상, 45)","부동산, 건물, 중개대상물, 임대차, 보증금, 임차권, 임대인, 임차인, 임대차계약, 잔금, 공인중개, 중개업자",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=238665,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_sale_effect|민법 제568조 매매의 효력; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
11,CASE_2025_00011,2024다305087,공제금등청구의소[다세대주택 건물 중 임대의뢰인 소유의 특정 세대에 대한 임대차계약 중개 시 중개대상물 및 임대의뢰인 소유의 다른 세대에 공동저당권이 설정되어 있는 경우 개업공인중개사의 주의의무가 문제된 사건],대법원,2025-12-04,민사,판결,상고심,파기환송,[1] 개업공인중개사의 중개대상물에 대한 확인·설명의무의 내용과 방법 및 공인중개사법령에서 이를 상세히 정한 취지 [2] 공동저당권에 관한 민법 제368조 가 공동근저당권의 경우에도 적용되는지 여부 (적극) 및 같은 조 제1항 에서 정한 ‘각 부동산의 경매대가’의 의미(=매각대금에서 해당 부동산이 부담할 경매비용과 선순위채권액을 공제한 잔액) / 공동저당권 또는 공동근저당권의 목적 부동산인 임차주택의 ‘경매대가’는 매각대금에서 주택임대차보호법에 따른 선순위 임대차보증금이나 소액보증금 등을 공제하여 산정하게 되는지 여부 (적극) [3] 개업공인중개사가 다세대주택 건물...,"[1] 구 공인중개사법(2020. 6. 9. 법률 제17453호로 개정되기 전의 것) 제25조 , 구 공인중개사법 시행령(2020. 2. 18. 대통령령 제30427호로 개정되기 전의 것) 제21조 , 공인중개사법 시행규칙 제16조 에 의하면, 개업공인중개사는 중개를 의뢰받은 경우에는 중개가 완성되기 전에 중개대상물의 종류·소재지·지번·지목·면적·용도·구조 및 건축연도 등 중개대상물에 관한 기본적인 사항과 소유권·전세권·저당권·지상권 및 임차권 등 중개대상물의 권리관계에 관한 사항 등을 확인하여 이를 해당 중개대상물에 관한 권리를 취득하고자 하는 중개의뢰인에게 성실·정확하게 설명하고 설명의 근거자료를 제시하여야 하며, 그 확인·설명을 위하여 필요한 경우에는 중개대상물의 매...","[1] 구 공인중개사법(2020. 6. 9. 법률 제17453호로 개정되기 전의 것) 제25조 , 구 공인중개사법 시행령(2020. 2. 18. 대통령령 제30427호로 개정되기 전의 것) 제21조 , 공인중개사법 시행규칙 제16조 [2] 민법 제357조 , 제368조 , 주택임대차보호법 제3조의2 제2항 , 제8조 [3] 구 공인중개사법(2020. 6. 9. 법률 제17453호로 개정되기 전의 것) 제25조 , 구 공인중개사법 시행령(2020. 2. 18. 대통령령 제30427호로 개정되기 전의...","[1][3] 대법원 2012. 1. 26. 선고 2011다63857 판결 (공2012상, 308) / [2] 대법원 2003. 9. 5. 선고 2001다66291 판결 (공2003하, 2004), 대법원 2017. 12. 21. 선고 2013다16992 전원합의체 판결 (공2018상, 171), 대법원 2024. 6. 13. 선고 2020다258893 판결 (공2024하, 1077) / [3] 대법원 2023. 11. 30. 선고 2023다259743 판결 (공2024상, 104)","부동산, 주택, 건물, 다세대, 임차주택, 중개대상물, 임대차, 전세, 보증금, 임차권, 임차인, 전세권",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=613167,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
12,CASE_1994_00012,93가단41427,손해배상(기)청구사건,서울지법 동부지원,1994-06-01,민사,판결,1심,일부인용,임대인의 처분권한 유무에 관한 부동산중개업자의 조사확인의무의 내용과 정도,부동산중개업자는 선량한 관리자의 주의와 신의성실로써 부동산을 임대하려는 자가 그 부동산의 진정한 권리자로서 적법히 임대할 수 있는지 여부를 부동산등기부와 주민등록증 등으로 조사확인하여 임차인에게 정확하게 설명하여야 할 의무가 있다.,"구 부동산중개업법(1989.12.30. 법률 제4153호로 개정되기 전의 것) 제16조 , 제17조","대법원 1992.2.11. 선고 91다36239 판결(공1992, 1000) , 1993.5.11. 선고 92다55350 판결(공1993하, 1684)","부동산, 주택, 건물, 중개대상물, 임대차, 전세, 보증금, 임대인, 임차인, 임대차계약, 계약금, 잔금",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=223061,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_sale_effect|민법 제568조 매매의 효력; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
13,CASE_2004_00013,2004가단23537,손해배상(기),대구지법,2004-10-19,민사,판결,1심,일부인용,"[1] 임대차계약의 중개를 의뢰받은 부동산중개업자가 부담하는 중개대상물의 시세에 대한 확인·설명의무의 정도 [2] 중개대상물에 대한 권리관계와 시세에 관한 확인·설명의무를 소홀히한 부동산중개업자에게 손해배상책임을 인정하되, 중개업자의 설명만을 믿고 섣불리 임대차계약을 체결한 임차인의 과실을 참작하여 손해배상책임의 범위를 40%로 제한한 사례","[1] 임차인으로부터 임대차계약의 중개의뢰를 받은 중개업자는 감정평가인이 시가나 차임을 감정하듯이 시세조사를 하여 이를 설명할 의무까지 있다고 할 수는 없으나, 의뢰인이 요구하는 경우 중개업자가 업무를 통하여 이미 인지하고 있거나 통상 조사할 수 있는 방법을 통하여 확인할 수 있는 범위 내에서는 신의성실로써 목적물의 시세를 설명하여 줄 의무가 있다고 할 것인데, 중개업자가 시세에 관한 그릇된 정보를 제대로 확인하지도 않은 채 마치 그것이 진실인 것처럼 의뢰인에게 그대로 전달하여 의뢰인이 그 정보를 믿고 상대방과 계약에 이르게 되었다면, 부동산중개업자의 그러한 행위는 선량한 관리자의 주의로 신의를 지켜 성실하게 중개행위를 하여야 할 중개업자의 의무에 위반된다. [2] 중개대...","[1] 부동산중개업법 제17조 제1항 , 부동산중개업법시행령 제22조 제1항 제5호 , 제8호 [2] 민법 제396조 , 제763조 , 부동산중개업법 제17조 제1항 , 제19조 제1항 , 부동산중개업법시행령 제22조 제1항 제5호 , 제8호","[1] 대법원 1999. 5. 14. 선고 98다30667 판결(공1999상, 1153)","부동산, 주택, 다가구, 중개대상물, 임대차, 전세, 보증금, 전세금, 임차권, 임차인, 전세권, 월세",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=69894,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
14,CASE_1996_00014,95가합113894,손해배상(기),서울지법,1996-04-02,민사,판결,1심,원고승소,"임차목적물의 근저당권 설정 사실을 고지하지 아니한 부동산중개업자의 기망행위로 인한 손해배상에 있어, 등기부를 열람하지 아니한 임차인의 과실을 20%로 보아 과실상계한 사례","임차목적물의 근저당권 설정 사실을 고지하지 아니한 부동산중개업자의 기망행위로 인한 손해배상에 있어, 등기부를 열람하지 아니한 임차인의 과실을 20%로 보아 과실상계한 사례.","민법 제750조 , 제763조 , 제396조 , 부동산중개업법 제15조 제1호",없음,"부동산, 주택, 임대차, 보증금, 임차인, 임대차계약, 임차보증금, 중개업자, 등기, 근저당, 저당권, 경매",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=223283,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_fraud_duress|민법 제110조 사기·강박에 의한 의사표시; civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
15,CASE_1997_00015,96나2019,전세금반환등,제주지법,1997-10-22,민사,판결,2심,항소기각,임차용 주택을 중개한 공인중개사에게 부동산중개업법 제19조에 기한 손해배상책임을 인정하면서도 임차인의 과실을 이유로 공인중개사의 책임을 70%로 제한한 사례,"공인중개사가 부동산중개업법 소정의 중개대상물 확인서의 작성 및 그를 통한 설명의무를 전혀 이행하지 않고 등기부등본조차도 제시하지 않았을 뿐만 아니라 당해 부동산은 아무런 법률적 문제가 없으니 자신을 믿고 계약을 체결하라는 잘못된 설명을 하는 등 업무상 주의의무를 현저히 위반함으로써 임차인이 전세금 일부를 반환받지 못하게 되는 손해를 입은 경우, 중개업자는 임차인에게 같은 법 제19조 제1항에 기한 손해배상책임이 있으나, 한편 임차인이 생면 부지의 사람과 비교적 고액의 보증금을 지급하고 전세계약을 체결함에 있어서 나름대로 부동산에 관한 등기부등본을 발급받아 봄으로써 이에 대한 권리관계사항을 미리 조사하는 등으로 손해방지를 위한 대비를 하였어야 함에도 불구하고 공인중개사의 말...","부동산중개업법 제17조 제1항 , 제19조 제1항 , 제3항 , 부동산중개업법시행령 제22조 제1항 제2호 , 제23조 제2항 , 부동산중개업법시행규칙 제15조 제2항 , 민법 제396조 , 제763조","대법원 1992. 2. 11. 선고 91다36239 판결(공1992, 1000) , , 대법원 1993. 5. 11. 선고 92다55350 판결(공1993상, 1684) , , 대법원 1995. 12. 22. 선고 94다21078 판결(공1996상, 466)","부동산, 주택, 빌라, 중개대상물, 임대차, 전세, 보증금, 전세금, 임차권, 임차인, 전세권, 주택임대차",전문 원문: https://www.law.go.kr/LSW/precInfoP.do?precSeq=129780,realtor_prohibited_acts,공인중개사법 제33조 금지행위,civil_nonperformance_damages|민법 제390조 채무불이행 손해배상; civil_lease_definition|민법 제618조 임대차의 의의; realtor_prohibited_acts|공인중개사법 제33조 금지행위
