feature,importance_mean,importance_std
combined_text,0.4774521218272384,0.00802753952517655
fixed_date_ready,0.15993445393015665,0.0072789244924643896
danger_term_count,0.04240563080904486,0.0020903853347956926
debt_ratio,0.031088797277161906,0.0035663636613879677
suspicious_special_clause,0.0,0.0
trust_registered,0.0,0.0
illegal_building,0.0,0.0
landlord_multiple_properties,0.0,0.0
landlord_prior_incidents,0.0,0.0
broker_unregistered,0.0,0.0
broker_advertising_issue,0.0,0.0
guarantee_insurance_available,0.0,0.0
seizure,0.0,0.0
move_in_ready,0.0,0.0
broker_explained_rights,0.0,0.0
has_crime_signal,0.0,0.0
has_broker_signal,0.0,0.0
has_registry_signal,0.0,0.0
provisional_seizure,0.0,0.0
deposit_million,0.0,0.0
monthly_rent_million,0.0,0.0
region,0.0,0.0
property_type,0.0,0.0
contract_type,0.0,0.0
sale_term_count,0.0,0.0
lease_term_count,0.0,0.0
broker_term_count,0.0,0.0
registry_term_count,0.0,0.0
contract_period_months,0.0,0.0
nearby_market_gap_percent,0.0,0.0
jeonse_ratio,0.0,0.0
senior_claim_million,0.0,0.0
mortgage_million,0.0,0.0
estimated_market_price_million,0.0,0.0
sale_price_million,0.0,0.0
legal_category,0.0,0.0
